1,79,"Uruapan","Paseo De La Revolución Y Camino De La Fundación",3753,"Emiliano Zapata","Uruapan","Michoacan",60180,14525271015,14525270272,14525270303,14525270393,,,,"Soriana"
1,80,"Colima","Ave. María Ahumada De Gómez Y Enrique Corona Morfin",39,"Campestre","Colima","Colima",28988,13123111276,13123111277,,13123111280,,,,"Soriana"
1,81,"Poza Rica","Ave. Puebla Y Calle Alamo",502,"Palma Sola","Poza Rica","Veracruz",93320,17828263390,,,,,,,"Soriana"
1,82,"Culiacán","Ave. Emiliano Zapata Y Manuel J. Cloutier","S/n","El Vallado","Culiacán","Sinaloa",80180,16677148626,16677148627,,16677148610,,,,"Soriana"
1,83,"Villahermosa","Periférico Carlos Pellicer Cámara Esq. Usumacinta","205-a","Plutarco Elías Calles","Villahermosa","Tabasco",86090,19933143805,19933149951,19933144162,19933123997,,,,"Soriana"
1,84,"Estadio","Calzada Independencia Norte Y Eutimio Pinzón",2955,"Rancho Nuevo","Guadalajara","Jalisco",44240,13331680267,13331682802,,,,,,"Soriana"
1,85,"Zaragoza","Blvd. Oscar Flores Esq. Blvd. Zaragoza",6751,"Nuevo Hipódromo","Cd. Juárez","Chihuahua",32674,16566203249,16566203695,16566203752,,,,,"Soriana"
1,86,"Pachuca","Av. Luis Donaldo Colosio Y Blvd. Nuevo Hidalgo",1501,"Venta Prieta","Pachuca","Hidalgo",42080,17717130215,17717130831,17717130225,17717144650,,,,"Soriana"
1,87,"Capu","Héroes 5 De Mayo",1101,"Santa María","Puebla","Puebla",72080,12222239300,12222239301,,12222239302,,,,"Soriana"
1,88,"Las Quintas","Av. López Mateos Y Antiguo Camino A San Rafael","S/n","Las Quintas","Guadalupe","Nuevo León",67167,18183299000,"Ext5088119","Ext5088126/127","Ext59088111",,,,"Soriana"
1,89,"Saucito","Av. De La Juventud",6300,"El Saucito","Chihuahua","Chihuahua",31165,16144395900,,,16144395902,,,,"Soriana"
1,90,"Iglesias","Av. Ejército Nacional",5230,"Benito Juárez","Cd. Juárez","Chihuahua",32390,16566295700,16566295702,16566295705,16566295700,,,,"Soriana"
1,91,"Bachoco","Blvd. Morelos",432,"Bachoco","Hermosillo","Sonora",83148,16622593100,16622593110,,16622593102,,,,"Soriana"
1,92,"Solidaridad","Luis Donaldo Colosio",1900,"Barrio De San Luis","Escobedo","Nuevo León",66050,18183299000,"Ext5092119","Ext5092126/127","Ext5092111",,,,"Soriana"
1,93,"Hamburgo","Periférico Torreón – Gómez Km. 6.7",501,"Fraccionamiento Residencial Hamburgo","Gómez Palacio","Durango",35010,18717373574,18717373575,18717373576,,,,,"Soriana"
1,94,"Ribereña","Av. José Zertuche",1100,"Contry","Reynosa","Tamaulipas",88620,18999249613,18999240872,,,,,,"Soriana"
1,95,"Mazatlán","Ave. Insurgentes Esq. Con Carr. Internacional Nte.",1198,"Villa Del Estero","Mazatlán","Sinaloa",82156,16699832813,16699832916,,16699832429,,,,"Soriana"
1,96,"Torrecillas","Ave. Municipio Libre Y Calle Nayarit",555,"Infonavit Loma Bella","Puebla","Puebla",72490,12222239310,12223991326,12223991329,12222239311,,,,"Soriana"
1,97,"Juventud","Av. De La Juventud",401,"Paseos De Chihuahua","Chihuahua","Chihuahua",31119,16144832757,16144832758,16144832759,,,,,"Soriana"
1,98,"Encinas","Periférico Poniente Y Blvd. Jesús García Morales",2,"El Llano","Hermosillo","Sonora",83210,16622629036,16622629037,16622629038,16622593113,,,,"Soriana"
1,99,"Bella Vista","Blvd. Rodolfo Elías Calles Y Calle Jesús García París","S/n","París","Obregon","Sonora",85130,16444124524,16444124525,16444124526,16444124529,,,,"Soriana"
1,100,"Cigarrera","Ave. Los Insurgentes Entre Ave. Gaviota Y 12 De Octubre",368,"Los Llanitos","Tepic","Nayarit",63170,13112100321,13112100325,13112100327,,,,,"Soriana"
1,101,,,,,,"Morelos",,,,,,,,,"Soriana"
1,102,"Celaya","Av. 12 De Octubre",200,"Fraccionamiento Celaya","Celaya","Guanajuato",38020,14616092504,14616092505,14616092506,14616092507,,,,"Soriana"
1,103,"Los Pinos","Ave. Rafael Cuervo Entre Playa Sola Y Playa Del Rey",60,"Playa Linda","Veracruz","Veracruz",91810,12299249090,,,,,,,"Soriana"
