3820,MICHOACÁN,01 55,52-56-55-90,52-11-55-60,52-11-55-85,,,Ext. 105,"MEXICO, D.F",AREA METROPOLITANA,"Michoacán No. 38 Col. Hipódromo Condesa Delegación Cuauhtémoc Mexico, D.F. C.P. 06170"
3821,LINDAVISTA,01 55,55-86-32-24,55-86-42-78,57-54-81-92,57-54-81-42,55-86-42-67,57-54-80-18,"MEXICO, D.F",AREA METROPOLITANA,"Montevideo No. 360 Col. Lindavista Delegación Gustavo A. Madero Mexico, D.F. C.P. 07300"
3824,ORADORES,01 55,53-93-13-94,53-93-04-14,55-62-96-41,,,53-93-04-98,ESTADO DE MEXICO,AREA METROPOLITANA,"Av. Fuentes de Satélite No. 1 Fraccionamiento Col. Jardines de Bellavista, Tlalnepantla de Baz, Edo. De Mexico C.P. 54080"
3825,SAN  MATEO,01 55,55-60-43-97,55-60-32-30,55-60-36-96,,,53-60-26-79,ESTADO DE MEXICO,AREA METROPOLITANA,"Antiguo Camino a San Mateo No. 20 Col. Anexo Coamilco C.P. 53240 Naucalpan, Edo. De Mexico"
3826,VIVEROS,01 55,53-97-12-50,53-62-42-60,53-97-24-26,53-98-26-87,,53-62-48-63,ESTADO DE MEXICO,AREA METROPOLITANA,"Calle 8 No. 1 Col. Viveros Del Valle C.P. 54080 Tlalnepantla, Estado De Mexico"
3827,PERIFERICO,01 55,55-28-53-41,55-28-55-97,56-06-35-19,,,,"MEXICO, D.F",AREA METROPOLITANA,"Calz. De Tlalpan  No.4467 Col. Toriello Guerra  Delegación Tlalpan Mexico,D.F. C.P. 14050"
3828,LOS MORALES,01 55,52-80-34-91,52-82-19-19,52-80-97-42,52-82-07-96,,52820991,"MEXICO, D.F",AREA METROPOLITANA,"Horacio No. 1740 Col. Chapultepec Morales Delegación Miguel Hidalgo Mexico, D.F. C.P. 11510"
3829,BOSQUES DE LAS LOMAS,01 55,52 45 14 00,52 45 02 05,52 45 17 75,52 45 10 25,,,"MEXICO, D.F",AREA METROPOLITANA,"Bosques de Duraznos 187 Loc. 1 Col. Bosques de Las Lomas Delegación Miguel Hidalgo Mexico, D.F.C.P. 11700"
3830,VIRREYES,01 55,55-40-06-14,55-40-22-82,,52-82-40-29,,EXT .105,"MEXICO, D.F",AREA METROPOLITANA,"Aguilar y Seixas No. 123 Col. Molino Del Rey Delegación Miguel Hidalgo Mexico, D.F. C.P. 01140"
3831,COYOACAN,01 55,56-58-24-99,56-58-23-67,56-58-24-10,,,,"MEXICO, D.F",AREA METROPOLITANA,"Miguel A. De Quevedo 870 Col. Concepción  Delegación Coyoacán Mexico, D.F. C.P. 04000"
3832,HOMERO,01 55,55-45-44-31,55-45-32-61,55-45-03-71,52-55-5344,,EXT.121,"MEXICO, D.F",AREA METROPOLITANA,"Av. Homero No.310  Col. Chapultepec Morales Delegación Miguel Hidalgo Mexico, D.F."
3833,JARDINES,01 55,55-68-10-74,56-52-45-62,55-68-75-27,55-68-78-86,,,"MEXICO, D.F",AREA METROPOLITANA,"Av. De Las Fuentes  No. 490 Jardines Del Pedregal Delegación Alvaro Obregón Mexico, D.F. C.P. 01900"
3834,INDIANA,01 55,55-63-35-87,55-63-73-35,56-11-01-50,,,55-63-30-15,"MEXICO, D.F",AREA METROPOLITANA,"Maximino Avila Camacho No. 32 Col. Ciudad De Los Deportes Delegación Benito Juarez México, D.F. C.P. 03710"
3835,LOMAS ANAHUAC, 01 55 ,55960246,55960288,52451147,,,,ESTADO DE MEXICO,AREA METROPOLITANA,"Av. De Los Bosques No. 234 Col. Lomas De Tecamachalco Huixquilucan, Edo. De Mexico C.P. 52760"
3836,COPILCO,01 55,56-59-38-09,56-59-54-18,56-59-51-76,55-54-09-64,,,"MEXICO, D.F",AREA METROPOLITANA,"Av. Copilco No. 75 Col. Copilco El Bajo Delegación Coyoacán Mexico, D.F. C.P. 04340"
3837,LUIS CABRERA,01 55,56-68-01-20,56-68-04-95,56-68-56-16,56-68-57-45,56-83-50-13,56-68-47-45,"MEXICO, D.F",AREA METROPOLITANA,"Av. Contreras No.386 Col. Sn. Jerónimo Lidice Delegación Magdalena Contreras Mexico, D.F. C.P. 10200"
3838,LOMAS VERDES,01 55,53-43-81-74,53-43-80-57,53-43-92-10,,,Ext. 105,ESTADO DE MEXICO,AREA METROPOLITANA,"Av. Lomas Verdes No. 545 Col. Lomas Verdes C.P. 53120 Naucalpan, Edo. De Mexico"
3839,GIRASOLES,01 55,56-79-68-23,56-79-67-74,56-79-84-76,56-79-71-66,, ,"MEXICO, D.F",AREA METROPOLITANA,"Rancho Sn. Lorenzo No. 6 Col. Girasoles de Valle Delegación Coyoacán Mexico, D.F. C.P. 04920"
